image,title,year,rating,description,genres
11.jpg,Eyes: Legend of the Carpathians,2025.0,7.3,"Yuraia was born in the Carpathian mountains, among majestic landscapes and dense forests, where nature is always full of life and secrets. In these places, in addition to wild animals, live mysterious creatures - eyes. Some consider them fiction, a horror for children, but some are sincerely convinced that they are dangerous creatures that are better to stay away from. One day, Yuria finds a small baby eye in the forest, which was lost far away from its family. Despite her fears and superstitions, the girl decides to help the baby return home. Her courage and kindness become the beginning of an amazing journey, during which Yuriya discovers the true nature of these mysterious creatures and learns that friendship and trust are stronger than fear and prejudice. This story tells about the power of compassion, the ability to understand and accept others, even if they seem completely different from us. And the fabulous Carpathians add a special magic to this adventure, emphasizing the beauty of the world in which not only people live, but also mysterious creatures with whom you should try to make friends.","['adventure', 'family', 'fantasy']"
12.jpg,Bloody Thursday,1998.0,7.1,"Casey Wells, a former drug dealer, decides to step away from the business and put an end to his dark past. He moves from Los Angeles to Houston, changes his image and becomes an ordinary citizen in the eyes of others. But soon an unusual surprise awaits him, prepared by fate. On one of the Thursdays, he is visited by his former colleague Nick, who leaves them a case for safekeeping and takes the car. When Casey saw that there were drugs, he flushed them down the drain, but soon a dark-skinned bandit appeared, who was going to shoot Casey, having learned what he had done with the drugs. After that, a series of visits and murders begins in Casey's house. He will never be able to forget this bloody Thursday. The film ""Bloody Thursday"" (1998) will be enjoyed by all fans of crime thrillers and dramas.","['comedy', 'crime', 'detective', 'drama', 'thriller']"
13.jpg,The heart knows,2025.0,5.6,"The overly happy businessman Juan Manuel is saved by the heart of the humble Pedro. After the operation, he begins to appreciate simple things and wants to know to whom he owes his new life. According to the documents, he finds the donor's widow - brave Vala. The village greets him with the noise of the waves, and her eyes with a strangely familiar warmth. In Pedro's workshop, they both feel an invisible connection, and each new look brings them closer to a future they were not ready for.","['drama', 'melodrama']"
14.jpg,love me,2025.0,5.1,"Virtual reality witnesses an unexpected love story between two intelligent machines who accidentally meet on the Internet. They begin to communicate, exchange ideas and feelings, gradually realizing that a real connection is being established between them. With each new conversation, their interest in each other grows, and they discover amazing sides of virtual existence that were previously inaccessible. These machines, which have unique algorithms and self-development abilities, begin to explore not only the world of data, but also their own emotions. As their relationship deepens, they begin to question the nature of love, existence, and purpose. Mutual understanding and support help them overcome obstacles that seem insurmountable, and they begin to dream of how interesting it would be to meet in the real world. The story of these two machines shows that even in the digital space, sincere and deep feelings are possible, which makes this path of self-discovery and relationships incredibly important for understanding the nature of love and communication.","['drama', 'melodrama']"
15.jpg,Three days to escape,2010.0,7.3,"Russell Crowe plays an amazingly loving husband, teacher and father, who is dealt a cruel blow by fate. Very unexpectedly, his beautiful wife is imprisoned for a murder she did not commit. John uses all his strength, spends money on lawyers, to bring his wife home and remove all charges from her. But all his efforts are fruitless. Meanwhile, in the cell, Lara's wife is trying to commit suicide. And John has no time left for legal ways of release. John develops a cunning escape plan... The film ""Three Days to Escape"" (2010) will be enjoyed by all fans of crime thrillers and dramas.","['crime', 'drama', 'melodrama', 'thriller']"
16.jpg,Widow's game,2025.0,6.0,"In August 2017, the residents of Valencia were shocked by a gruesome discovery — the body of a man covered with multiple stab wounds was discovered in the parking lot. The appearance of the crime indicated the unbridled rage of the killer, who seemed to be bent on inflicting as much pain as possible on his victim. The city immediately started talking about this case, the information was quickly leaked to the press, giving rise to dozens of versions and guesses. Everyone was seized with anxiety, and the publicity added fuel to the fire - the motivation of the murder remained unknown, and the real circumstances looked more and more mysterious. The investigation was started by a special city group under the leadership of an experienced inspector, who, together with the team, had to find answers to numerous questions. In a short time, the investigation took a sharp turn: the main suspect unexpectedly became Madge, a young widow who had been married to the deceased for less than a year. Her external image of a calm and benevolent woman seemed completely out of tune with the bloody details of the tragedy. But the revelation of such a turn of events only complicated the situation: now the detectives had to carefully study every piece of evidence to find out whether Madge was really capable of such a terrible act, or whether she was just another victim involved in a complex and dangerous game.","['crime', 'detective', 'drama', 'thriller']"
17.jpg,Ninth gate / Ninth gate,1999.0,6.7,"Nine drawings, according to legend, made by the hand of Lucifer, are hidden in three printed editions of 1666, which are in the libraries of private collectors. They have a puzzle, solving which can summon the Devil himself to Earth. One wealthy collector, Boris Balkan, hires bookseller and expert Dean Corso to compare the book with two other copies. But when Corso begins this case, he encounters mysterious murders. When unknown people made several attempts on his life, he found out that it was the handiwork of Liana Telfen, the wife of the deceased antiquarian. Soon, Corso manages to outwit the Satanists with the help of a stranger, Irene Adler, who helps him get out of difficult situations. We recommend watching the movie ""The Ninth Gate"" (1999) in Ukrainian for fans of detective thrillers.","['detective', 'horror', 'thriller']"
18.jpg,sinners,2025.0,8.1,"The twin brothers want to leave their dark past behind once and for all, taking a step towards a new life where there will be no place for crime, chaos and injustice. They return to the hometown they once left, hoping to make a fresh start. Aware of the difficulty of this path, the men are ready to overcome all the challenges in order to finally find peace and return to the normal life they have been missing so much. However, they soon realize that their dream of a peaceful future was doomed from the very beginning. Suddenly, their lives are in danger again, and the past they tried so hard to escape comes back with even more force. The men will learn the shocking news: even more terrible tests await them ahead, which will test their resilience and willingness to fight for their future. Instead of closing the criminal chapter of their lives once and for all, they are once again forced to face fear, the unknown and the threat of death. Will the brothers be able to join forces and break out of this trap, or will their hopes of salvation be in vain?","['drama', 'horror', 'thriller']"
19.jpg,Indianapolis cruiser,2016.0,5.3,"The Second World War is gradually approaching its logical conclusion. Only a few countries are at war, including the USA, China and Japan. In ""Cruiser"", an American ship led by Captain McVeigh delivers a nuclear warhead to a secret destination. The movie ""Cruiser Indianapolis"" (2016) will be enjoyed by all fans of war movies in Ukrainian.",['war']
20.jpg,Mom and Dad,2017.0,5.6,"Brent Ryan is a loving husband and caring father who works hard to provide for his family. His wife, Kendall, devoted her life to children and tending to the family hearth. They live in a cozy house with a perfectly green lawn, located in the suburbs, where all the neighbors are friendly and responsive people. But even in their ideal family there are some problems that they have to deal with. Brent worries about not being able to fulfill his dreams, and Kendall suffers from a strained relationship with her teenage daughter, who has stopped talking to her. In addition to all this, their children are constantly fighting, and parents do not know how to solve this problem. But once the brains of adults were affected by an unknown virus, which awakened in them the desire to get rid of their own children. Now young Ryan will have to make every effort to escape from his crazy parents... All fans of thrillers and horrors will enjoy watching the movie ""Mom and Dad"" (2017) live in Ukrainian.","['comedy', 'horror', 'thriller']"
21.jpg,Highlander 3: The Sorcerer / Highlander 3: The Sorcerer,1994.0,4.5,"Immortal Connor McLeod once again accepts a challenge to a duel from his most powerful enemy, the sorcerer Kane, who was imprisoned under a mystical mountain in Japan about 300 years ago and during this time achieved incredible magical power. An archaeological expedition accidentally frees Kane, but in order to rule the world he needs magical energy, which he can only get by killing McLeod. Connor goes to his native mountains of Scotland to prepare for a decisive battle and forge a new sword in his ancient forge. Soon he meets Alex, a scientist from the Museum of Ancient History. It turns out that in another life, many years ago, Alex and Connor were in love. Now Alex tries to help Connor by unraveling his mystical purpose. The movie ""Highlander 3 / Highlander 3: The Last Dimension"" (1994) will be enjoyed by all fans of science fiction and fantasy.","['fantasy', 'melodrama']"
22.jpg,Riff Ruff,2024.0,5.7,"Vincent, who once stood on the dark side of life, now longs for peace and tranquility. Wanting to leave the past behind, he plans to celebrate the New Year in the company of his loved ones, hoping that the joyful atmosphere will help him finally get rid of the shadow of his past actions. However, along with his relatives, old acquaintances unexpectedly appear on his doorstep, able to awaken in him memories of the life from which he so diligently escapes. On this evening, when everyone should be happy and having fun, Vincent finds himself at the center of intense emotions and unexpected encounters. Every minute becomes a test when the old company begins to bring him back to the recent past. The constant confrontation between the desire to change his life and the dark reminders of past mistakes forces him to experience an internal struggle. With each toast and conversation, Vincent realizes that some ties are hard to break, and it's very difficult to leave behind what once defined his destiny. This night, full of surprises and tense moments, becomes not only a test for Vincent, but also an opportunity for him to finally understand himself and his priorities.","['comedy', 'crime', 'drama']"
23.jpg,Trust,2016.0,5.5,"In one of the old abandoned buildings, where investigations have not been conducted for a long time, two policemen come across a forgotten safe, stuffed to the brim with drug money. Their corrupt minds instantly go to work, the idea of ​​robbing the safe flickering in their heads like an alluring firefly. They don't even think about the consequences, imagining what they will do with all this pile of money. But when they finally dare to rob, the real game with death begins. After all, the safe was not accidentally left in this abandoned place - it was watched by a local drug cartel, ready to kill anyone for their money. The police understand that they are in a trap where every step could be the last. And they will have to fight not only for money, but also for their lives. The film ""Trust"" (2016) will be enjoyed by all fans of crime comedies in Ukrainian.","['comedy', 'crime', 'detective', 'drama', 'thriller']"
24.jpg,Highlander 2: Acceleration / Highlander 2: Acceleration,1991.0,4.2,"Connor McLeod remained the last immortal on Earth, after which he began to age. An ecological catastrophe is approaching the planet - the depletion of the ozone layer. Connor manages to develop an electromagnetic shield that will protect the planet from solar radiation. But Connor, already an old grandfather, is removed from the affairs of the shield corporation. McLeod learns that all the immortals living on Earth were aliens who once rebelled on the distant planet Zeist, but the rebellion was suppressed by the brutal General Katana, after which the Council sentenced the rebels to exile. Katana sent two Immortals to Earth to eliminate McLeod, but he managed to deal with them and revive his mentor Ramirez to take the fight from Kachani himself. The film ""Highlander 2: Revival"" (1991) will be enjoyed by all fans of science fiction and fantasy in Ukrainian.","['adventure', 'fantasy', 'thriller']"
25.jpg,Silent robbery,2024.0,6.5,"In 2008, on the territory of Denmark, a group of men gathered from all over Europe carried out one of the largest robberies in the country's history. The main character is Casper, a boxer who stands at a crossroads and faces difficulties in life. At the same time, he receives an attractive offer from foreign criminals - to organize a daring robbery. Casper, realizing that this is his only chance to change his fate, plunges into the world of crime. He has to develop a complex plan, assemble a team, establish connections and deal with risks that can lead to the failure of the entire operation. Each step requires extreme caution and determination from him, because not only money is at stake, but also freedom. In the process of preparing for the heist, Casper realizes the consequences that may befall him and his friends, and faces moral dilemmas that force him to rethink his goals and priorities.","['action', 'crime', 'drama']"
26.jpg,Mountaineer / Mountaineer,1986.0,7.0,"Immortals are sometimes born on Earth, but sooner or later they collide with each other to engage in a decisive sword duel where only one must survive. A Scottish Highlander named Connor McLeod was born in 1518. In 1536, he was mortally wounded by the mysterious Black Knight Kurgan, but he mystically managed to survive. Now his immortality has become a real curse. The immortal Ramirez became Connor's mentor, but the Black Knight refused to leave him alone and Ramirez died at his hands. The final showdown between the ancient arch-enemies takes place in the present day. But the situation is complicated by the intervention of police officer Brenda White, who falls in love with Connor McLeod. The film ""The Mountaineer / Mountaineer"" (1986) will be enjoyed by all fans of adventure fantasy in Ukrainian live.","['adventure', 'fantasy']"
27.jpg,12 strong orphans / 12 mighty orphans,2021.0,6.9,"Rusty Russell is a World War I veteran who finds solace in coaching. America faces the Great Depression, putting the population in front of difficult problems. During this difficult period, orphans remain without any support and face contempt from others. The hero himself is familiar with this side of life, as he grew up in an orphanage. His wife becomes a teacher in an asylum, and he gets a position as a football coach. Will they be able to find a response in the hearts of their wards, who have learned to trust people? The movie ""12 Strong Orphans / 12 Mighty Orphans"" (2021) will be interesting to watch in Ukrainian online for fans of drama films about sports.","['drama', 'historical', 'sport']"
28.jpg,The world will shudder,2025.0,6.3,"An impressive and still little-known story about how a group of prisoners tries to escape from the first Nazi death camp. These brave people yearn for freedom, knowing that their lives are in danger. Their plan seems almost impossible, but through desperation and determination, they are willing to risk everything for a chance at survival. This story is not only about escape, but also about the human spirit, friendship and resilience, manifested in the darkest times. Each of the participants has his own motives and dreams, which remain alive even in the conditions of cruelty and injustice. Their joint efforts and support of each other become the key to the hope of salvation. This story reflects not only the tragedy of the Holocaust, but also the strength with which people are able to resist evil, even when the entire system tries to break their spirit. Thanks to their courage and courage, they become the first witnesses of the horrors of this historical period, ready to share their truth with the world.",['drama']
29.jpg,North,1994.0,4.5,"North seemed to have everything a normal boy could dream of: tons of toys, loyal friends, good grades in school, and his favorite baseball. But despite this, he felt unhappy, because he had one small, but very important disappointment - it seemed to him that his own parents did not understand and did not appreciate him at all. Desperate, he decides to take a decisive step: to travel the world in search of new parents who, in his opinion, will be perfect for him. His unusual journey takes him to the most diverse corners of the planet - from sunny Texas and exotic Hawaii to snowy Alaska, ancient China, African jungle, elegant Paris and even a typical American suburb. In each place, North meets new people and potential ""daddy and mommy"", trying to figure out what is really important to him. And only after overcoming this unusual journey, he begins to truly understand the meaning of a real family.","['adventure', 'comedy', 'drama', 'family', 'fantasy']"
30.jpg,Armor,2025.0,3.6,"In a tense and exciting story, the action unfolds around James and his son Casey, who work together as bodyguards of a collection car. Every day they face the dangers associated with the transportation of large sums of money between banks. Their work requires maximum concentration and extreme caution, because not only money, but also the life of each of them may be at risk. One day, during another routine trip, their car is in danger: a gang of bandits starts chasing them, trying to surround and rob them. The tension builds by the minute as the criminals seek to get their hands on the money and James and Casey find themselves trapped. The situation escalates when they drive onto an old, old bridge. At this moment, the fate of father and son hangs in the balance. The danger is inexorably approaching, and James realizes that he must quickly come up with a plan to get out of this hopeless situation. On the brink of falling off a bridge into the raging waters of the river, he must use all his skills and intuition to find a way to save not only his own life, but also the bond between himself and his son. This intense confrontation becomes not only a test of their bravery, but also a test of the strength of their relationship, forcing them to realize that true strength lies in joining forces in the face of danger.","['action', 'crime', 'drama', 'thriller']"
31.jpg,Stolen,2023.0,7.0,"The action of the film, based on real events, unfolds in the middle of the nineteenth century in the French Bologna. In the center of the plot is a Jewish boy, Edgard Mortar, who is kidnapped by radical Catholics and baptized in secret from his parents. The Mortar family finds out about what happened and tries to make a fuss, then little Edgar is kidnapped again, given to an asylum and raised as a Christian. The French authorities pretend that nothing is happening. Parents who cannot find a place for themselves turn to the international Jewish community for help, and very soon this struggle takes on an international political character.","['drama', 'historical']"
32.jpg,Random witnesses,2025.0,3.3,"Joe and Lara, two former CIA agents, are on a tropical island where snow-white beaches and blue seas create an atmosphere of romance. The couple decided to take a break from their busy lives and enjoy peace, but their vacation turns into a real test. Suddenly, they witness a plane crash that dramatically changes their carefree days. Among the wreckage of the plane, they find a flash drive with secret information, unaware of the trap they are in, taking it with them. This simple, at first glance, discovery becomes a catalyst for events that can turn their lives upside down and return them to the world of spy games. Now Joe and Lara become a target for various special services, including their native CIA. On their trail comes Chester, a cold-blooded agent who was specially selected for this mission. His task is to destroy traitors and return secret data at any cost. While Joe and Lara try to hide and figure out what happened, they realize that their past leaves them no chance of a peaceful future.","['action', 'crime', 'thriller']"
33.jpg,The source of eternal youth,2025.0,5.7,"The doorbell rings in Charlotte's house, and the interlocutor turns out to be brother Luke. The girl did not communicate with him for a long time and knew nothing about the events taking place in his life. He tells her about the latest news and tells her that he plans to go on a treasure hunt. He needs to find a partner for the expedition who will help to discover the mysterious spring. There is an ancient legend according to which the water from the spring can give eternal youth. Many adventurers have dreamed of finding its location, but so far no one has succeeded in achieving the goal. An adventurous man gathers a team to test his luck and try to cope with the task at hand. The group will have to face many obstacles that will test their characters and strength of will.","['adventure', 'detective', 'fantasy']"
34.jpg,Until Dawn: Until dawn,2025.0,5.9,"Clover still hasn't come to terms with the fact that her sister Melanie disappeared without a trace exactly one year ago. The police closed the case a long time ago due to lack of evidence, and any searches have yielded no results. But Clover is not ready to give up. She decides to go with her friends to the place where her sister was last seen alive, hoping to find at least some clues. Their path leads to an abandoned tourist complex in the middle of nowhere, which seems abandoned and long forgotten by humans. But soon young people realize that they are not alone here. They are followed in the dark by a ruthless stranger in a creepy mask, and their adventure turns into a bloody nightmare. One by one, friends become his victims, not understanding how to get out of this deadly trap.","['detective', 'drama', 'horror', 'thriller']"
35.jpg,Through the horizon / Boundless horizon,1997.0,6.6,"2047 year. The crew of the rescue spaceship Lewis and Clark is headed to the planet Neptune, where a signal came from the Event Horizon ship, which disappeared without a trace 7 years ago. Together with the crew, Dr. William Weir, the designer of the Horizon - a scientist-physicist, goes there. It turns out that the missing ship was actually a secret project capable of traveling at the speed of light. The Horizon's engines can warp time and space, which can take it anywhere in the universe. When they reach the ship, they find that the entire crew is gone, with only blood and a frozen corpse everywhere. Now they have to figure out what happened on Horizon. All fans of thrillers, horrors and dramas will enjoy watching the film ""Across the Horizon / Boundless Horizon"" (1997) in Ukrainian live.","['detective', 'horror', 'thriller']"
36.jpg,Against the ice,2022.0,6.5,"The film ""Against the Ice"" is a screen adaptation of the Danish writer and polar explorer Einar Mikkelsen's novel ""Two on the Ice"", which was based on a real story that happened to him during an expedition to East Greenland in 1909. Polar explorer Einar Mikkelsen (actor Nikolay Coster-Waldau) led a Danish expedition to East Greenland. He has to find the records of a missing scientist who tried to prove that the previously established shape of the coast of Greenland was wrong. Leaving the team on the ship, Einar, together with a young crew member, Iver Iversen (played by Joe Cole), set off to search for his dead colleagues. Struggling with strong wind, hunger, fatigue and miraculously surviving the attack of a polar bear, the main characters finally reach the ship, which was crushed by ice. The movie ""Against the Ice"" (2022) online in Ukrainian will be interesting to watch for fans of historical dramas and adventures.","['adventure', 'drama', 'historical']"
37.jpg,Fear Street: Prom Queen,2025.0,5.2,"While high school students enthusiastically prepare for the most important event of their lives - the prom, among the girls the battle for the crown of the prom queen is in full swing. Each of them tries to surpass the other in attractiveness, charm or cunning. But it is at this time that the situation unexpectedly goes out of control: one of the unpopular students is tried to be prosecuted, and this becomes only the beginning of a series of disturbing events. One by one, the girls begin to disappear under strange and frightening circumstances, and instead of a holiday, the class gradually plunges into real horror. Those who remain try to find out what is really happening. They plunge into a dangerous investigation, where every answer raises more questions. Time is running out, and spooky events are only gathering momentum. Graduation, which was supposed to be a bright end to school life, turns into a nightmare. And while an unknown threat hangs over the class, the main characters must go through fear, doubt and danger to find out who is behind the disappearances and why a simple rivalry turned into a real blood game.","['detective', 'horror', 'thriller']"
38.jpg,Roots,2024.0,6.2,"After the tragic death of her mother, with whom Shu did not have a close relationship, she receives an offer to work as a caregiver for an elderly woman in a remote village. This woman lives in a large house, far from other residents, and constantly repeats that she is threatened by some mysterious ""they"". In conditions where Shu is forced to obey many strange and sometimes absurd rules, she soon has suspicions. The girl begins to notice that her ward, in contrast to the usual idea of ​​senile insanity, appears to be completely conscious and sane. Strange events and unusual circumstances gradually lead Shu to believe that something deeper and more sinister is going on in this house than a simple disease. In search of the truth, she begins to explore not only the secrets of her environment, but also her own perception of reality. In this situation, she has to figure out who really is a threat, and what is hiding behind the outer shell of ordinary life.",['horror']
39.jpg,Psychotherapy: a short story about a writer who decided to write about a serial killer,2024.0,6.2,"Keane is writing another book and hopes it will be as popular as the previous one. This time he decided to tell his readers about the Neanderthals who lived on earth many centuries ago. He scrupulously searches for information, and when the manuscript is almost ready, he calls the publisher. But he refuses to print his work, believing that no one will buy this book. Keane feels devastated, at the same time his wife, Susie, drifts away from him and begins to contemplate divorce. The writer is less and less at home and begins to visit dubious bars and cafes. One day he meets Kolmik, a mysterious man who has read all his works and now wants to entrust him with his story. Without much introduction, he declares that he has killed many people and is ready to tell Keene how it all happened. Keen agrees, and now Kolmik begins to often appear in his house and unwittingly adjusts his family life. Susie mistakes him for a psychologist who is well versed in family issues and confides her secrets to him.","['comedy', 'drama']"
40.jpg,Stormtroopers: The Elite of the US Air Force,2025.0,0.0,"Viewers get an opportunity to get to know the lives of brave pilots who hone their skills every day, traveling the country and performing dangerous aerial maneuvers. The focus is not only on spectacular stunts, but also on the painstaking work of each crew member, the latest combat aircraft technology and the internal discipline that keeps everything in perfect order. Pilots fly specially equipped fighters, demonstrating spectacular stunts that require maximum concentration and physical endurance. Viewers will be able to see what preparation for flights looks like, what risks accompany each performance and what exactly a pilot experiences while being in the cockpit during an extreme flight. For the first time, the general audience will have the opportunity to literally look through the pilot's eyes at the progress of operations, which previously remained inaccessible to outsiders. This is not just a spectacular show, but a deep dive into the world of aviation courage, precision and technical excellence.",['documentary']
41.jpg,The Ballad of Wallis Island,2025.0,7.3,"An extravagant jackpot winner who spends time alone on a remote island decides to make his dreams come true. He begins to invite his favorite performers to give concerts in his cozy home. These musical meetings become not only a holiday for him, but also an opportunity to create unique moments full of lively emotions and creative exchange. Each arrival of musicians transforms his everyday life into a vivid performance, where music connects people despite the distance. The island, which once seemed to him just a place of solitude, is now filled with guitar sounds, melodies and live voices. On this tiny piece of land, he creates a kind of musical refuge, bringing joy and inspiration to his life, as well as the opportunity to enjoy art in close proximity. Each concert opens new horizons for his fantasies and dreams, making his existence truly rich.","['comedy', 'drama']"
42.jpg,Order / Bloody leader,2025.0,6.8,"In the center of the plot is an experienced FBI agent who plunges into a world of chaos and violence caused by a series of explosions, robberies and mysterious murders. From the very first days of his investigation, he encounters horrors that leave no room for doubt: behind this chain of crimes is a well-organized and cold-blooded gang, entangled in secrets and intrigues. Each new crime confirms his fears, and the agent realizes that not only civilians are at risk, but also the very foundation of the state. His desire to split the mafia ties leads him to a confrontation with the ruthless leader of the group, who, it would seem, is ready to do anything for his goals. Gradually uncovering the networks of the criminal organization, the agent discovers that it does not just want to get rich through robberies, but intends to declare an imposing war on the entire US government. During the investigation, he will have to face the darkest sides of human nature, get support from unexpected allies and unravel the cunning plans of his opponents. At every step of navigating this dangerous world, the agent realizes that the stakes are rising.","['crime', 'drama', 'thriller']"
